Belize,BLZ,0.558367968,0.595781744,0.182882696,#N/A,0.416043013,0.485956788,0.401626587,0.101920225,0.079578303,0.194411606,0.187959462,0.027838364,0.070427686,0.15190886,0.180257618,0.176189259,0.048583075,0.043097582,0.060622137,0.224217087,5,48.57143021,34.2857132,61.42856979,0.035682265,0.015672719,#N/A
Bermuda,BMU,0.718495429,0.730095923,0.714189112,#N/A,0.792757034,0.853129327,0.894766688,0.819997251,0.775330603,0.771813452,0.796786189,0.693840563,0.911838114,0.964122117,0.980253696,0.970303059,0.913897812,0.983049035,0.999670088,0.276124716,2,85.23809814,64.2857132,98.09523773,1.001691103,1.162025094,#N/A
Bolivia,BOL,-0.134786651,-0.239488021,-0.235554785,#N/A,-0.289909422,-0.83416158,-0.680682898,-0.973391593,-0.802807093,-0.850300491,-0.695555389,-0.50745821,-0.415407211,-0.417126507,-0.458068103,-0.328593433,-0.333112091,-0.268487215,-0.248866364,0.20779568,8,36.66666794,24.76190567,49.04761887,-0.278014928,-0.242841065,#N/A
Brazil,BRA,-0.218180925,-0.336898953,0.186739698,#N/A,0.329844594,0.005972705,-0.275706738,-0.264487565,-0.294623226,-0.356955171,-0.312599719,0.166292161,0.013475911,-0.132575423,0.045961641,-0.258553296,-0.070290133,-0.331458092,-0.377205402,0.204956502,9,31.90476227,21.4285717,45.23809433,-0.419837445,-0.357017606,#N/A
Barbados,BRB,1.048929691,1.082600355,1.150208235,#N/A,1.097169161,0.918888807,1.095372677,1.115677238,0.91464293,1.044320345,1.070771933,1.048899293,1.06063664,1.246130109,1.185965657,1.26692915,1.277919888,1.135361314,0.976609886,0.22024554,6,81.90476227,66.19047546,95.7142868,0.966614187,0.921432853,#N/A
Brunei Darussalam,BRN,1.235572696,1.110726118,1.302254677,#N/A,1.156787753,1.145259976,1.3695755,1.214634299,1.124461412,1.10672462,1.126965165,1.387627125,1.277547002,1.085193753,0.909327209,1.074022293,1.261507034,1.242662311,1.154172063,0.21260111,7,91.42857361,73.33333588,99.04762268,1.160056472,1.201149106,#N/A
Bhutan,BTN,0.722960353,0.538902581,0.490639716,#N/A,0.692917943,0.918888807,1.171561718,1.283388257,1.263382912,0.56866318,0.720590889,0.803936958,0.742221653,0.826495349,0.77630949,0.784624875,1.068038583,0.974714994,1.123296738,0.225992307,5,90.95237732,72.38095093,98.57142639,1.116888881,1.104605198,#N/A
South Sudan,SSD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.430328488,-1.156583309,-1.730328679,-2.646576643,-2.37568903,-2.418965578,0.249646768,4,1.90476191,0,4.285714149,-2.452061176,-2.439315796,#N/A
Botswana,BWA,1.014611602,0.955479383,1.072952509,#N/A,0.873669982,1.105562091,0.916183531,1.06344831,1.016433001,1.055395365,1.032002091,0.952790082,0.991209805,1.064446568,1.104041457,1.102347016,1.011847138,1.042091846,0.994560003,0.211597949,7,83.33333588,66.66666412,95.7142868,1.022284746,0.979156196,#N/A
Central African Republic,CAF,-1.210246682,-1.139869094,-1.121049523,#N/A,-1.734490752,-1.538547039,-1.42479825,-1.430053115,-1.851547837,-1.854586244,-1.842395306,-1.905314445,-2.020625353,-1.789389133,-1.852922916,-2.154896736,-2.699193239,-1.904764652,-1.789266825,0.225411683,5,7.142857075,4.285714149,9.047618866,-2.006213188,-2.281260967,#N/A
Canada,CAN,1.233703971,0.950458109,1.168465853,#N/A,1.221569419,1.054091454,0.876835406,0.829618096,1.035532594,1.00686717,1.041849613,1.126739144,0.936318219,1.077175736,1.113016248,1.061421752,1.17550385,1.274697781,1.256058574,0.204956502,9,93.80952454,78.57142639,99.52381134,1.101824403,0.991188586,#N/A
Switzerland,CHE,1.456473351,1.438815117,1.579547167,#N/A,1.544933558,1.247231722,1.22819221,1.197639823,1.269324541,1.234160542,1.223261356,1.307553053,1.258594275,1.300342083,1.418336034,1.401140213,1.402652621,1.339359045,1.306290388,0.20956327,8,94.76190186,80,99.52381134,1.256538868,1.3448627,#N/A
Chile,CHL,0.678323686,0.035288811,0.486966193,#N/A,1.091703176,0.763274074,0.692135334,0.844650626,0.614122868,0.407155246,0.433190316,0.60323137,0.67960453,0.452553362,0.331102103,0.36374253,0.447516918,0.433439225,0.413110524,0.204956502,9,60.47618866,48.57143021,71.90476227,0.417022407,0.425245881,#N/A
China,CHN,-0.095957071,-0.391394079,-0.208933994,#N/A,-0.327094465,-0.563666165,-0.390191853,-0.501789033,-0.539763808,-0.498820543,-0.491274953,-0.449346364,-0.657060683,-0.602054834,-0.53878206,-0.543789923,-0.522584021,-0.550294638,-0.499395043,0.204956502,9,26.66666603,17.1428566,39.04761887,-0.231012836,-0.261062086,#N/A
Côte d'Ivoire,CIV,0.034838725,-0.202324867,-1.244039059,#N/A,-1.918557525,-1.803033113,-2.116911411,-2.264046669,-1.86529386,-1.838057518,-1.806673884,-1.320874453,-1.583894253,-1.405807614,-1.263461113,-1.048724174,-1.037160635,-0.832545936,-0.907559335,0.20779568,8,15.71428585,10.95238113,24.76190567,-1.090074658,-0.931182325,#N/A
Cameroon,CMR,-0.956825614,-0.782407999,-0.562828243,#N/A,-0.677342117,-0.429809421,-0.360389054,-0.18314299,-0.245271444,-0.325032562,-0.550896108,-0.474470109,-0.736971438,-0.66168797,-0.588517427,-0.532237291,-1.059252381,-0.989607453,-1.062137008,0.20779568,8,13.33333302,9.047618866,20.95238113,-1.095679879,-1.375979543,#N/A
"Congo, Rep.",COG,-1.2223773,-1.497251987,-0.920373738,#N/A,-1.584950805,-1.168668509,-1.189875841,-1.166831851,-0.924408674,-0.77008003,-0.720065832,-0.249511823,-0.316415846,-0.35430038,-0.489689857,-0.475050122,-0.359291583,-0.526365995,-0.519269526,0.216166675,6,25.7142849,16.19047546,39.04761887,-0.531663895,-0.442818105,#N/A
Cook Islands,COK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.144706488,1.322361231,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Colombia,COL,-1.641695261,-1.788261414,-1.603680849,#N/A,-1.95017767,-2.374467134,-2.269416094,-2.056106567,-1.901590705,-1.803280354,-1.850909352,-1.831907868,-1.537184834,-1.284655571,-1.401810408,-1.291971803,-1.114594102,-1.069146633,-0.882459342,0.204956502,9,16.19047546,10.95238113,24.76190567,-0.772603452,-0.813388526,#N/A
Comoros,COM,0.506719232,0.563996255,0.021869849,#N/A,0.403080642,-0.672682881,-0.163022175,-0.435432047,-0.359773099,-1.094133019,-1.107348084,-0.76673609,-0.562939286,-0.552736104,-0.452308029,-0.256929189,-0.186910167,-0.232791469,0.035759903,0.249646768,4,48.09523773,31.90476227,61.90476227,0.036074556,-0.203264654,#N/A
Cape Verde,CPV,1.031386375,1.109699368,1.219243526,#N/A,0.728002667,0.918888807,1.038576007,0.753495395,0.963115752,0.87702471,0.813495517,0.819041073,0.840972781,0.722605228,0.809086382,0.777999878,0.350779146,0.867810428,0.886215627,0.225992307,5,76.19047546,63.80952454,93.80952454,0.774460018,0.747233689,#N/A
