,MSCI Emerging Markets Gross Index USD,MSCI Emerging Markets Gross Index USD_ncskew,MSCI China Gross Index USD_ncskew
7/1/2006,0.09713392821054363,0.09713392821054363,-1.109900737518697
8/1/2006,0.17398540881123598,0.17398540881123598,0.11203540652154875
9/1/2006,0.559947318875386,0.559947318875386,1.6396542112937817
10/1/2006,-0.8851849891824011,-0.8851849891824011,0.2876703990073841
11/1/2006,-0.993374669119792,-0.993374669119792,0.572039254848261
12/1/2007,0.597807668358047,0.597807668358047,-2.4151545436684168
1/1/2007,0.6064754364690506,0.6064754364690506,0.35796653181635635
2/1/2007,1.100224664963262,1.100224664963262,1.2799599995188637
3/1/2007,0.9497260145042491,0.9497260145042491,1.1052081954080566
4/1/2007,-0.19599109826901273,-0.19599109826901273,1.6346141345437046
5/1/2007,-0.7276409046029726,-0.7276409046029726,-2.1121102229524675
