Date,MSCI China Gross Index USD
4/13/2003,-0.007555465238178273
4/20/2003,-0.014043742640222045
4/27/2003,-0.047456113722396776
5/4/2003,0.01612221056225273
5/11/2003,-0.009752240885300065
5/18/2003,-0.0035338122823602458
5/25/2003,0.042963977927478046
6/1/2003,-0.03746700576509163
6/8/2003,-0.020453622396301958
6/15/2003,0.027176600221341756
6/22/2003,0.022318895238055463
6/29/2003,0.009131388981028991
7/6/2003,-0.009938262851499274
7/13/2003,0.0346376008461178
7/20/2003,0.008644402983039597
7/27/2003,-0.06080342785364671
8/3/2003,0.043037513099812325
8/10/2003,-0.055476612324732215
8/17/2003,-0.0004676580825256918
8/24/2003,0.025495289921674356
8/31/2003,0.025502088872636518
9/7/2003,0.011472841412509972
9/14/2003,-0.029467430628839997
9/21/2003,-0.06358650352413947
